Element,PBE,SCAN,r2SCAN
H,-1.11764114,-1.12253609,-1.12253494
He,-0.00052786,-0.32643245,-0.32642176
Li,-0.29743394,-0.78753843,-0.77995311
Be,-0.0181095,-0.58542798,-0.55676985
B,-0.44469617,-1.25620634,-1.17225491
C,-1.38654735,-2.51181721,-2.37160532
N,-3.12555756,-4.62153695,-4.42681769
O,-1.90671456,-3.52432346,-3.22012274
F,-0.7673784,-2.66271185,-2.24728429
Ne,-0.01212295,-2.35599505,-1.8765323
Na,-0.22849725,-3.1103016,-2.47901414
Mg,-0.09582532,-3.28007323,-2.46232103
Al,-0.31215047,-4.14501862,-3.13618564
Si,-0.86888875,-5.30019893,-4.10457963
P,-1.88790618,-6.96426334,-5.58374203
S,-1.07462784,-6.73830222,-5.119113
Cl,-0.37144465,-6.65216492,-4.80861004
Ar,-0.05020281,-6.88532718,-4.82052992
K,-0.2277304,-7.4750592,-5.16172158
Ca,-0.0927445,-7.54810536,-4.96508371
Sc,-2.2127053,-10.16565431,-7.37656287
Ti,-2.6396956,-11.06362468,-7.97506548
V,-3.74380223,-12.69660342,-9.39925965
Cr,-5.60184906,-15.00799981,-11.58596264
Mn,-5.32349624,-15.19228323,-11.62247271
Fe,-3.5954844,-13.5406421,-9.75193473
Co,-2.14964537,-12.74538027,-8.55460567
Ni,-1.05364824,-11.76555127,-7.33765864
Cu,-0.60265022,-11.245683,-6.96428086
Zn,-0.16448622,-11.97226032,-7.44401705
Ga,-0.40434494,-13.40408185,-8.61685023
Ge,-0.89162985,-15.09262267,-10.00237154
As,-1.68338513,-17.20579826,-11.83569144
Se,-0.87160873,-17.52074479,-11.78785214
Br,-0.26510794,-18.02439825,-11.94443617
Kr,-0.03311082,-18.92118531,-12.53267144
Rb,-0.18790066,-19.97527505,-13.16924919
Sr,-0.06803699,-20.46940465,-13.3079358
Y,-2.28684301,-23.67143938,-16.17779847
Zr,-2.36027985,-24.7899202,-17.08173695
Nb,-3.15126762,-26.53095714,-18.36436162
Mo,-4.6010719,-28.97381701,-20.43609204
Tc,-3.54379703,-28.52972847,-19.67965268
Ru,-1.65951258,-28.44474122,-19.12192806
Rh,-1.64792854,-27.75984036,-18.69168685
Pd,-1.47757669,-28.4134463,-18.7790071
Ag,-0.33879604,-28.4903626,-18.4785347
Cd,-0.16716334,-29.37132594,-19.04287267
In,-0.40867553,-30.87793338,-20.18280719
Sn,-0.81672085,-32.49469628,-21.49162269
Sb,-1.4107175,-34.44234577,-23.14793185
Te,-0.72389572,-34.82755022,-23.15033927
I,-0.17027602,-35.38491938,-23.31109247
Xe,-0.00970306,-36.18545028,-23.82203152
Cs,-0.13694844,-37.12729915,-24.4090968
Ba,-0.0343695,-37.55906268,-24.4460697
La,-0.84554693,-30.92122209,-18.07405447
Ce,-1.38761307,-40.51859434,-26.8133755
Pr,-0.54910261,-39.3566383,-25.41158048
Nd,-0.51855074,-39.54207948,-25.38884431
Pm,-0.48949991,-39.85587087,-25.45309672
Sm,-0.46831115,-40.29377463,-25.64156888
Eu,-8.36623237,-50.84519665,-36.37882956
Gd,-10.40884328,-54.7589864,-39.37207332
Tb,-0.39823821,-42.53285743,-26.99133054
Dy,-0.38863497,-43.53931427,-27.71703345
Ho,-0.38344483,-44.70937859,-28.59726592
Er,-0.38565263,-46.04464923,-29.63216493
Tm,-0.31681786,-47.53226062,-30.83127824
Yb,-0.06399341,-49.18612083,-32.2073073
Lu,-0.38080349,-51.01639578,-33.75424641
Hf,-3.52698067,-56.24456213,-38.7217592
Ta,-3.74207688,-58.11954497,-40.68843569
W,-4.65547364,-60.87928851,-43.42149141
Re,-3.42756959,-62.65311524,-45.0107781
Os,-2.8979346,-63.01234446,-44.95534305
Ir,-1.17889955,-63.09393512,-44.76167376
Pt,-0.56375078,-64.074191,-45.78267378
Au,-0.28723541,-65.6384782,-47.17538145
Hg,-0.12345689,-67.69700245,-48.91021932
Tl,-0.36055645,-70.15008533,-51.09730407
Pb,-0.7674351,-72.68711434,-53.46693249
Bi,-1.3259764,-75.75114495,-56.19993509
Ac,-0.38662805,-86.86128949,-65.08587635
Th,-1.10454667,-89.66008531,-67.55596091
Pa,-2.55302147,-92.88821284,-70.5829312
U,-4.98889379,-97.42206266,-74.409145
Np,-7.70168233,-101.10352349,-78.58324435
Pu,-10.80833165,-105.48024913,-82.98569659
